,Southern olive
1,137940.0
2,82907.0
3,59448.0
4,44247.0
5,39383.0
6,30926.0
7,26967.0
8,20359.0
9,19357.0
10,17043.0
11,14591.0
12,14591.0
13,14131.0
14,13286.0
15,13837.0
16,11379.0
17,9553.0
18,9294.0
19,8573.0
20,9629.0
21,8569.0
22,8307.0
23,8132.0
24,7891.0
25,7283.0
26,6764.0
27,6818.0
28,6871.0
29,6539.0
30,6436.0
31,6397.0
32,6650.0
33,6162.0
34,6312.0
35,5705.0
36,5404.0
37,5770.0
38,6357.0
39,5932.0
40,6343.0
41,5747.0
42,5477.0
43,5720.0
44,6192.0
45,6133.0
46,3459.0
