,Hamadryas baboon
1,68203.0
2,44146.0
3,32840.0
4,25939.0
5,24459.0
6,21338.0
7,21855.0
8,17906.0
9,18050.0
10,17240.0
11,14898.0
12,14681.0
13,13586.0
14,13923.0
15,12292.0
16,12578.0
17,11754.0
18,11235.0
19,12855.0
20,10115.0
21,11385.0
22,9961.0
23,11097.0
24,7689.0
