,Eastern yellow
1,143525.0
2,91209.0
3,63618.0
4,51731.0
5,43849.0
6,35808.0
7,33970.0
8,29311.0
9,25063.0
10,22034.0
11,20871.0
12,19649.0
13,18891.0
14,18130.0
15,16631.0
16,14702.0
17,14383.0
18,14086.0
19,13502.0
20,13205.0
21,12868.0
22,12374.0
23,12592.0
24,12561.0
25,11243.0
26,10909.0
27,10553.0
28,10544.0
29,10673.0
30,10402.0
31,10302.0
32,10138.0
33,10271.0
34,10914.0
35,7525.0
