,Kinda
1,162419.0
2,103379.0
3,81053.0
4,63969.0
5,53400.0
6,45029.0
7,39051.0
8,35970.0
9,31819.0
10,27032.0
11,25104.0
12,22676.0
13,20693.0
14,19655.0
15,18633.0
16,17127.0
17,16962.0
18,16278.0
19,16429.0
20,14360.0
21,14421.0
22,13827.0
23,13459.0
24,14042.0
25,15139.0
26,12544.0
27,12822.0
28,12776.0
29,7576.0
