,pi
Yellow Baboon,0.002921786706694468
Kinda Baboon,0.0027371769981944767
Olive Baboon,0.0020533821120686285
Guinea Baboon,0.0004905032892750418
Chacma Baboon,0.001954073611217216
Hamadryas Baboon,0.0016567026134984729
