,Værdi
theta[0] = 1/N1,1.004769
theta[1] = m,0.125321
N1 (rel.),0.9953
M = 4*N1_ref*m,50128.506
E[T] model,1.9905
Konvergeret,True
m_hat (til NB3),0.125321
