,Kinda baboon
1,133541.0
2,84438.0
3,71922.0
4,58685.0
5,50041.0
6,41981.0
7,37256.0
8,35686.0
9,30106.0
10,26310.0
11,24174.0
12,22610.0
13,21010.0
14,19825.0
15,18802.0
16,17718.0
17,17649.0
18,17628.0
19,15792.0
20,15544.0
21,15126.0
22,15246.0
23,15299.0
24,15595.0
25,11087.0
