,Olive gog
1,135986.0
2,81205.0
3,47415.0
4,37809.0
5,31478.0
6,26190.0
7,21573.0
8,19008.0
9,17327.0
10,15667.0
11,14745.0
12,13586.0
13,13614.0
14,12955.0
15,12305.0
16,12422.0
17,12080.0
18,10419.0
19,9535.0
20,9480.0
21,10210.0
22,9799.0
23,10698.0
24,5561.0
