,Værdi
Population 1,Eastern yellow (Mikumi)
Population 2,Kinda
n1 (haploid),70
n2 (haploid),58
π pop1,0.00258
π pop2,0.00286
N_ye (fra π),"71,789"
N_ki (fra π),"79,459"
