,Værdi
Population 1,Eastern yellow (Mikumi)
Population 2,Southern olive
n1 (haploid),70
n2 (haploid),92
π pop1,0.00258
π pop2,0.00197
N (fra π),"71,789"
N (MoM),"76,283"
m (MoM),28238.37335
M = 4Nm,8616456866.752
MoM konvergeret,True
