population,n_haplotypes,pi,theta_W,N_ref,tajimas_d,theta_mean,theta_std,Ne_svgd
P_cynocephalus,120,0.002946339495267444,0.0035713484089017625,81842.763757429,-0.5890358803111193,0.0035372434347950054,2.9404527949050378e-05,98256.76207763904
P_kindae,50,0.002793037714492331,0.0025814887834361908,77584.38095812031,0.30055583651564854,0.002708446105953676,4.464923612377602e-05,75234.61405426878
P_anubis,180,0.002050120366198543,0.0025480236845449346,56947.78794995954,-0.6371430876883649,0.002654770170630695,4.4693677093157584e-05,73743.61585085264
P_papio,24,0.0005118295121393241,0.00040917923376476223,14217.48644831456,1.0191053928955347,0.00040917923376476223,2.0458961688238114e-05,11366.089826798952
P_ursinus,8,0.0022332269532510576,0.002157968997396357,62034.082034751606,0.1920313617849786,0.002182928254730015,4.152101620691345e-05,60636.895964722644
P_hamadryas,48,0.0016919515817906685,0.0014387608591906072,46998.655049740795,0.6485064558455701,0.0014117570755382176,3.095603696442461e-05,39215.474320506044
