population,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90
P_cynocephalus,0.2095,0.1234,0.0844,0.0603,0.0446,0.0326,0.0321,0.0261,0.0233,0.0189,0.0178,0.0165,0.0142,0.0134,0.0121,0.012,0.0119,0.0094,0.0094,0.0093,0.0079,0.0082,0.0068,0.0087,0.0068,0.0073,0.0069,0.0076,0.0061,0.0059,0.0053,0.0062,0.0061,0.0056,0.0059,0.0052,0.006,0.0056,0.0048,0.0053,0.0033,0.0062,0.0051,0.0055,0.005,0.0045,0.0049,0.0043,0.0044,0.0044,0.0046,0.0041,0.0048,0.005,0.0045,0.0053,0.0037,0.0037,0.0045,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_kindae,0.1668,0.0996,0.0822,0.071,0.0608,0.0462,0.0435,0.0416,0.0374,0.0305,0.0295,0.0299,0.0249,0.0235,0.0222,0.0206,0.0228,0.0215,0.019,0.0202,0.0176,0.0206,0.0186,0.0165,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_anubis,0.1726,0.111,0.0744,0.0645,0.0437,0.0384,0.0334,0.0252,0.021,0.0178,0.018,0.0177,0.0133,0.0147,0.0157,0.0108,0.0122,0.0116,0.0091,0.0092,0.0075,0.0085,0.0072,0.0063,0.006,0.0073,0.0071,0.0076,0.0059,0.0054,0.0072,0.0062,0.0041,0.005,0.005,0.0053,0.0038,0.0046,0.0052,0.0042,0.0035,0.0047,0.0042,0.0034,0.0035,0.0031,0.0041,0.003,0.0032,0.0031,0.0035,0.0024,0.0031,0.0037,0.0023,0.0027,0.0026,0.0031,0.0024,0.003,0.0029,0.0025,0.004,0.0025,0.0021,0.0022,0.0028,0.0032,0.0027,0.0026,0.0033,0.0027,0.0033,0.0026,0.0031,0.0023,0.0027,0.0024,0.0021,0.003,0.0026,0.0027,0.0031,0.0031,0.0026,0.0022,0.0019,0.0037,0.0033,0.0015
P_papio,0.1268,0.1138,0.0996,0.1017,0.0856,0.0678,0.0828,0.0851,0.0535,0.0692,0.0666,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_ursinus,0.3733,0.3139,0.2116,0.1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_hamadryas,0.1426,0.0922,0.0751,0.0581,0.0531,0.0477,0.0478,0.0389,0.0366,0.0366,0.0346,0.0372,0.031,0.0277,0.0283,0.0272,0.0248,0.0215,0.0292,0.0201,0.0239,0.0228,0.0244,0.0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
