population,b1,b2,b3,b4,b5,b6,b7
P_cynocephalus,0.4361,0.1816,0.1106,0.0816,0.0642,0.0633,0.0626
P_kindae,0.3681,0.2062,0.1367,0.1008,0.0712,0.0597,0.0573
P_anubis,0.4675,0.1819,0.1094,0.0809,0.0608,0.0511,0.0484
P_papio,0.2108,0.1631,0.1498,0.1289,0.1153,0.1124,0.1197
P_ursinus,0.3086,0.2289,0.1293,0.1012,0.0823,0.085,0.0647
P_hamadryas,0.2875,0.1869,0.1326,0.1062,0.099,0.0876,0.1002
