population,theta_mean,theta_std,Ne,Ne_low,Ne_hi,E_H_yr,n_haplotypes
P_cynocephalus,0.0035372434347950054,2.9404527949050378e-05,98256.76207763904,96655.84888930185,99857.67526597623,,120
P_kindae,0.002708446105953676,4.464923612377602e-05,75234.61405426878,72803.71119864099,77665.51690989659,,50
P_anubis,0.002654770170630695,4.4693677093157584e-05,73743.61585085264,71310.2934313363,76176.938270369,,180
P_papio,0.00040917923376476223,2.0458961688238114e-05,11366.089826798952,10252.213023772654,12479.966629825249,,24
P_ursinus,0.002182928254730015,4.152101620691345e-05,60636.895964722644,58376.30730456847,62897.484624876815,,8
P_hamadryas,0.0014117570755382176,3.095603696442461e-05,39215.474320506044,37530.09008577627,40900.85855523583,,48
